fawn,fawned
convolute,convoluted
yellow,yellowed
prefix,prefixed
preface,prefaced
underachieve,underachieved
shamble,shambled
conjure,conjured
ruck,rucked
chatter,chattered
scold,scolded
quadruple,quadrupled
outwit,outwitted
tingle,tingled
sputter,sputtered
lord,lorded
antecede,anteceded
swivel,swiveled
bellyache,bellyached
stipulate,stipulated
befoul,befouled
foul,fouled
disturb,disturbed
prize,prized
buttonhole,buttonholed
understock,understocked
disburden,disburdened
fritter,frittered
orientate,orientated
charter,chartered
tolerate,tolerated
pulse,pulsed
second,seconded
tether,tethered
intermingle,intermingled
thunder,thundered
boogie,boogied
decry,decried
succumb,succumbed
cull,culled
crouch,crouched
avert,averted
splinter,splintered
herd,herded
chine,chined
shriek,shrieked
chink,chinked
elaborate,elaborated
personify,personified
conglutinate,conglutinated
exuviate,exuviated
divide,divided
lengthen,lengthened
replace,replaced
garter,gartered
perennate,perennated
browse,browsed
exhort,exhorted
gradate,gradated
untie,untied
telegraph,telegraphed
strike,struck
relay,relayed
relax,relaxed
hurt,hurt
glass,glassed
export,exported
hurl,hurled
hole,holed
hold,held
unpack,unpacked
simper,simpered
pursue,pursued
sandblast,
sweeten,sweetened
straddle,straddled
reword,reworded
shelve,shelved
exhale,exhaled
rework,reworked
scavenge,scavenged
enlace,enlaced
wane,waned
wank,wanked
malign,maligned
caution,cautioned
want,wanted
reprove,reproved
dyke,dyked
hog,hogged
hoe,hoed
hob,hobbed
contraindicate,contraindicated
dimple,dimpled
travel,travelled
peregrinate,peregrinated
feature,featured
revisit,revisited
machine,machined
hop,hopped
chase,chased
classify,classified
outfight,outfought
diagram,diagrammed
wrong,wronged
scourge,scourged
revolt,revolted
wink,winked
wing,winged
wind,wound
wine,wined
transect,transected
confederate,confederated
vary,varied
handcuff,handcuffed
fit,fitted
fix,fixed
baste,basted
secede,seceded
fib,fibbed
fin,finned
undercut,undercut
glorify,glorified
enrich,enriched
slate,slated
commemorate,commemorated
confute,confuted
interrupt,interrupted
silver,silvered
defecate,defecated
debut,debuted
debug,debugged
telescope,telescoped
swathe,
garment,garmented
exhume,exhumed
ameliorate,ameliorated
allay,allayed
sparge,sparged
demote,demoted
overwrite,overwrote
rubberstamp,rubberstamped
smirk,smirked
waive,waived
freeze,froze
unclog,unclogged
encourage,encouraged
adapt,adapted
waddle,waddled
inscribe,inscribed
outmarch,outmarched
estimate,estimated
knit,knitted
quickstep,quickstepped
nitrify,nitrified
superscribe,superscribed
rumple,rumpled
purpose,purposed
carbonate,carbonated
goggle,goggled
misplace,misplaced
procreate,procreated
wash,washed
instruct,instructed
declaim,declaimed
service,serviced
tango,tangoed
stack,stacked
master,mastered
underlie,underlay
postulate,postulated
bitter,bittered
listen,listened
collapse,collapsed
emaciate,emaciated
task,tasked
crawl,crawled
trek,trekked
outlaw,outlawed
tree,treed
project,projected
idle,idled
endure,endured
acclaim,acclaimed
entail,entailed
urinate,urinated
kayo,kayoed
gripe,griped
season,seasoned
ambuscade,ambuscaded
pander,pandered
object,objected
simplify,simplified
mouth,mouthed
addict,addicted
letter,lettered
fluster,flustered
expound,expounded
dummy,dummied
upend,upended
foist,foisted
camp,camped
nettle,nettled
disaffect,disaffected
consummate,consummated
screak,screaked
scream,screamed
marvel,marvelled
mortise,mortised
incorporate,incorporated
bomb,bombed
dicker,dickered
reschedule,rescheduled
gauge,gauged
striate,striated
participate,participated
caper,capered
busy,busied
headline,headlined
buss,
bust,busted
bush,bushed
rick,ricked
mend,mended
rice,riced
plate,plated
remarry,remarried
denounce,denounced
pocket,pocketed
cushion,cushioned
relish,relished
enrobe,enrobed
patch,patched
release,released
urticate,urticated
hasten,hastened
respond,responded
outspan,outspanned
traverse,traversed
fair,faired
clew,clewed
result,resulted
fail,failed
hammer,hammered
best,bested
score,scored
flagellate,flagellated
scorn,scorned
pirate,pirated
preserve,preserved
discipline,disciplined
extend,extended
quadruplicate,quadruplicated
reconstitute,reconstituted
wheelbarrow,wheelbarrowed
downgrade,downgraded
pity,pitied
veer,veered
disdain,disdained
incense,incensed
pith,pithed
sublime,sublimed
argue,argued
tinge,tinged
schmooze,schmoozed
eradicate,eradicated
rehash,rehashed
extravasate,extravasated
